Alloy,Finish,Length_m,Weight_kg_m,Profile_Name,Tolerances,GD_T,Order_Quantity,LME_Price_EUR,Customer_Category,Lead_Time_weeks,Quote_Price_SEK,Quote_Date
Copper,wet painted,24.9,1.112,Dekorlist,0.097,high,105481,4.11,large,4.0,2.87,2025-07-03
Zinc,phosphated,22.1,1.382,Fönsterbåge,0.093,high,77086,3.78,micro,8.0,3.37,2025-04-05
Iron,blackening,38.5,1.108,Kantskydd,0.064,low,126986,2.72,medium,4.0,2.49,2025-09-30
Nickel,phosphated,25.2,1.11,Clipsprofil,0.097,low,156011,3.79,large,3.0,1.98,2025-05-17
Aluminium,plasma sprayed,36.4,1.514,Glashållare,0.056,low,108725,2.82,micro,11.0,2.81,2025-08-25
Nickel,phosphated,21.0,0.881,Anslagslist,0.167,medium,62586,3.26,large,9.0,3.63,2025-12-19
Aluminium,electroplated,20.7,1.66,Isolerprofil,0.11,medium,135381,2.88,micro,5.0,2.34,2025-09-22
Zinc,hot-dip galvanized,16.4,1.613,Kilspår,0.117,high,48294,3.65,micro,9.0,3.88,2025-05-15
Zinc,anodized,30.8,1.445,Täckprofil,0.184,medium,133339,3.94,medium,2.0,2.38,2025-05-24
Zinc,plasma sprayed,24.3,1.378,L-profil,0.149,high,144215,3.01,large,6.0,2.18,2025-01-19
Aluminium,electroplated,35.7,1.65,Karmprofil,0.051,medium,155261,2.68,micro,10.0,1.99,2025-08-19
Nickel,electroplated,26.7,5.166144,Ventilationslister,0.191,medium,122498,3.02,small,2.0,2.57,2025-05-14
Zinc,Powder coated,38.1,0.909,Hakprofilslist,0.086,medium,136972,3.62,small,12.0,2.31,2025-04-24
Titanium,phosphated,20.0,1.055,Ytterram,0.066,low,58939,3.07,small,5.0,3.69,2025-05-19
Aluminium,wet painted,35.8,1.561,Vinkellist,0.165,medium,49505,2.99,medium,7.0,3.86,2025-05-05
Aluminium,blackening,33.7,0.869,Isolerprofil,0.125,low,88977,2.84,micro,11.0,3.16,2025-07-23
Nickel,wet painted,33.6,1.368,Mittpost,0.115,low,65230,3.34,medium,9.0,3.58,2025-03-02
Aluminium,plasma sprayed,35.3,1.744,H-profil,0.087,medium,105613,2.99,large,4.0,2.87,2025-09-07
Aluminium,hot-dip galvanized,33.3,1.617,Foglist,0.132,high,126151,3.71,large,6.0,2.5,2025-10-25
Zinc,wet painted,30.2,1.312,Ytterram,0.091,high,145453,2.67,micro,,2.16,2025-01-13
Nickel,anodized,18.8,0.895,Innerbåge,0.185,high,124809,3.61,small,2.0,2.53,2025-09-12
Zinc,wet painted,16.5,1.594,Isolerprofil,0.082,medium,50616,2.93,micro,8.0,3.84,2025-03-26
Zinc,plasma sprayed,37.0,1.383,Doldbeslag,0.183,high,59604,3.33,micro,12.0,3.68,2025-01-20
Nickel,blackening,30.0,0.942,Glashållare,0.134,low,134139,3.0,micro,9.0,2.36,2025-02-19
Iron,wet painted,34.2,0.923,Glasningslist,0.174,high,128358,3.7,medium,9.0,2.46,2025-06-13
Zinc,anodized,26.9,1.666,Droppnäsa,0.157,medium,120176,4.05,large,10.0,2.61,2025-04-02
Titanium,Powder coated,18.4,1.447,Bottenlist,0.155,high,117666,4.01,micro,7.0,2.65,2025-03-29
Titanium,hot-dip galvanized,18.6,1.593,Vinkellist,0.099,low,45703,3.48,micro,7.0,3.93,2025-03-10
Aluminium,plasma sprayed,31.6,1.638,Baslister,0.085,medium,112352,3.29,micro,3.0,2.75,2025-02-06
Titanium,Powder coated,25.7,1.358,Clipsprofil,0.082,high,149778,3.85,medium,4.0,2.09,2025-09-10
Aluminium,Powder coated,20.4,1.309,Z-profil,0.179,medium,116927,3.64,medium,5.0,2.67,2025-09-09
Iron,Powder coated,27.1,1.229,L-profil,0.173,medium,105795,2.84,medium,5.0,2.86,2025-05-20
Nickel,electroplated,17.2,1.126,Karmprofil,0.116,medium,64232,3.86,micro,9.0,3.6,2025-12-21
Nickel,hot-dip galvanized,29.2,1.233,F-profil,0.07,high,128390,3.23,small,2.0,2.46,2025-06-17
Nickel,blackening,22.0,1.542,L-profil,0.107,medium,69001,2.85,small,11.0,3.51,2025-02-23
Titanium,phosphated,34.2,1.385,Karmlist,0.143,high,35685,3.0,small,5.0,4.1,2025-06-27
Iron,hot-dip galvanized,22.9,1.65,Doldbeslag,0.118,low,153624,2.98,large,12.0,2.02,2025-10-24
Titanium,electroplated,26.3,1.241,H-profil,0.167,high,131526,3.38,micro,12.0,2.41,2025-10-28
Titanium,phosphated,16.0,1.39,Kantskydd,0.2,low,89541,2.92,small,12.0,3.15,2025-12-25
Iron,hot-dip galvanized,17.4,1.412,Skarvprofil,0.079,high,42667,2.75,small,5.0,3.98,2025-04-16
Iron,Powder coated,24.8,1.376,Spröjsprofil,0.119,medium,97330,2.75,small,2.0,3.01,2025-05-17
Iron,plasma sprayed,26.8,1.477,Ytterram,0.115,high,78805,3.48,micro,4.0,3.34,2025-07-09
Iron,phosphated,29.6,1.053,Fönsterbleck,0.096,medium,156762,3.72,small,,1.96,2025-05-08
Nickel,anodized,22.5,1.304,Rörprofil,0.08,low,65632,3.06,small,7.0,3.57,2025-12-08
Copper,anodized,31.8,0.932,Ventilationslister,0.06,high,117478,2.61,micro,10.0,2.66,2025-02-16
Copper,wet painted,35.6,1.187,Kantskydd,0.183,medium,108625,2.75,large,10.0,2.81,2025-01-05
Iron,phosphated,33.8,1.281,Z-profil,0.113,low,67568,4.0,medium,10.0,3.54,2025-09-14
Copper,plasma sprayed,16.6,1.431,Tätningslist,0.125,low,118786,3.33,small,12.0,2.63,2025-10-27
Copper,blackening,26.8,1.703,Skarvprofil,0.188,high,57863,3.27,medium,2.0,3.71,2025-05-30
Iron,electroplated,18.2,1.384,Skenprofil,0.166,low,137485,2.61,large,10.0,2.3,2025-10-21
Copper,Powder coated,21.3,1.514,Ytterram,0.07,medium,68704,3.71,large,,3.52,2025-08-31
Titanium,wet painted,38.6,1.298,Mittpost,0.135,low,87482,3.39,small,3.0,3.19,2025-10-02
Aluminium,anodized,19.0,1.415,Ramlist,0.116,low,65291,2.87,micro,12.0,3.58,2025-07-27
Aluminium,electroplated,27.3,0.902,Z-profil,0.17,medium,136901,2.73,large,,2.31,2025-04-25
Iron,electroplated,30.0,1.069,Ändprofil,0.159,low,79963,3.16,medium,2.0,3.32,2025-07-14
Nickel,Powder coated,32.0,1.167,Sidoprofil,0.154,low,98186,3.88,medium,,3.0,2025-12-09
Iron,blackening,28.7,1.268,Skruvkanal,0.101,low,154302,3.93,medium,10.0,2.01,2025-06-19
Nickel,blackening,16.0,0.879,Spröjsprofil,0.171,low,116148,3.51,medium,8.0,2.68,2025-03-23
Aluminium,phosphated,23.3,0.965,Ytterram,0.058,medium,56427,3.71,large,6.0,3.74,2025-06-03
Iron,anodized,27.7,1.089,F-profil,0.074,low,89992,2.73,small,12.0,3.14,2025-05-21
Zinc,blackening,17.8,1.722,F-profil,0.1,medium,126689,3.49,small,3.0,2.49,2025-11-10
Titanium,plasma sprayed,23.8,1.139,Hakprofil,0.062,low,69800,3.61,medium,2.0,3.5,2025-05-26
Copper,blackening,16.5,1.276,Täckprofil,0.085,low,66085,2.87,small,3.0,3.57,2025-11-19
Nickel,electroplated,17.5,1.016,Spröjsprofil,0.175,low,116446,3.95,medium,2.0,2.67,2025-05-02
Zinc,Powder coated,24.9,1.394,Glasningslist,0.192,low,121426,2.86,medium,4.0,2.59,2025-09-09
Copper,plasma sprayed,18.8,1.093,Ytterram,0.096,medium,127279,3.05,micro,7.0,2.48,2025-12-09
Copper,phosphated,28.9,1.026,Kantskydd,0.09,medium,80297,3.54,large,9.0,3.31,2025-11-07
Iron,anodized,31.7,1.308,Karmlist,0.092,medium,39470,3.56,large,4.0,4.04,2025-03-30
Copper,phosphated,34.3,0.842,Hakprofilslist,0.092,high,45603,3.66,medium,11.0,3.93,2025-02-27
Titanium,electroplated,20.4,0.844,Hörnvinkel,0.055,low,104043,2.73,large,10.0,2.89,2025-03-04
Zinc,plasma sprayed,19.6,1.037,Rörprofil,0.189,low,110152,3.9,small,11.0,2.79,2025-12-13
Copper,plasma sprayed,18.1,0.871,Mittpost,0.082,medium,67487,3.4,medium,6.0,3.54,2025-11-04
Iron,plasma sprayed,30.5,0.936,Karmlist,0.113,high,97334,3.3,micro,8.0,3.01,2025-10-07
Titanium,electroplated,32.1,1.146,Rörprofil,0.051,low,104076,4.11,small,9.0,2.89,2025-03-13
Aluminium,electroplated,16.5,1.568,Hakprofilslist,0.179,medium,34193,3.73,micro,4.0,4.13,2025-01-09
Zinc,phosphated,37.4,1.358,Innerbåge,0.16,low,46053,2.74,micro,3.0,3.92,2025-04-04
Copper,wet painted,16.9,1.304,Ytterram,0.192,low,70390,3.75,large,3.0,3.49,2025-12-05
Iron,phosphated,28.3,1.105,Mittpost,0.167,medium,97222,2.7,large,6.0,3.01,2025-12-02
Aluminium,anodized,32.1,1.686,Innerbåge,0.097,medium,109068,2.59,medium,2.0,2.81,2025-06-01
Aluminium,Powder coated,35.9,1.199,Glaskil,0.087,low,91712,3.19,large,3.0,3.11,2025-12-22
Nickel,plasma sprayed,32.3,0.917,Hakprofilslist,0.155,low,154706,4.13,micro,10.0,2.0,2025-02-09
Titanium,wet painted,34.3,1.399,Skenprofil,0.105,medium,88330,2.83,micro,8.0,3.17,2025-12-25
Copper,Powder coated,23.6,0.941,Ändprofil,0.135,low,49809,3.62,small,7.0,3.85,2025-03-03
Iron,wet painted,34.6,1.152,T-profil,0.051,low,100953,2.83,micro,10.0,2.95,2025-09-11
Nickel,blackening,17.6,1.299,Glashållare,0.059,medium,69229,3.7,medium,8.0,3.51,2025-03-10
Titanium,blackening,36.4,1.633,Stödprofil,0.13,low,80591,3.35,medium,12.0,3.31,2025-09-02
Nickel,hot-dip galvanized,28.4,1.287,Mittpost,0.135,low,36342,3.63,large,6.0,4.09,2025-12-31
Zinc,blackening,34.6,1.477,Fönsterbåge,0.163,high,94874,2.87,large,10.0,3.06,2025-06-19
Titanium,phosphated,26.2,1.741,T-profil,0.07,medium,69501,3.74,large,7.0,3.51,2025-06-27
Titanium,blackening,30.6,0.957,Glaskil,0.127,high,124582,4.13,medium,,2.53,2025-07-08
Copper,electroplated,27.9,1.087,Täckprofil,0.079,high,46316,3.61,micro,12.0,3.92,2025-09-17
Titanium,plasma sprayed,32.7,1.197,Stödprofil,0.064,high,57322,3.33,large,5.0,3.72,2025-03-13
Nickel,phosphated,17.6,1.221,Glaskil,0.112,low,133262,4.02,small,2.0,2.38,2025-01-17
Titanium,Powder coated,17.1,1.212,Skenprofil,0.075,low,60238,2.58,large,6.0,3.67,2025-12-07
Copper,hot-dip galvanized,21.4,1.664,Karmlist,0.083,high,75978,3.71,medium,12.0,3.39,2025-02-26
Copper,hot-dip galvanized,19.4,1.488,Glaskil,0.098,high,150471,3.96,large,10.0,2.07,2025-08-06
Zinc,hot-dip galvanized,35.9,1.391,Foglist,0.089,high,133548,2.65,micro,9.0,2.37,2025-04-17
Nickel,Powder coated,20.8,1.119,Z-profil,0.063,low,94020,3.27,large,9.0,3.07,2025-10-31
Aluminium,Powder coated,38.3,1.588,Kopplingsprofil,0.063,high,137814,2.88,medium,6.0,2.3,2025-06-22
Aluminium,Powder coated,23.5,1.707,Täckprofil,0.079,high,89105,3.45,medium,10.0,3.16,2025-08-07
Titanium,Powder coated,19.9,1.585,Ramlist,0.058,medium,106623,3.58,small,4.0,2.85,2025-09-04
Zinc,hot-dip galvanized,34.0,0.839,Hakprofilslist,0.144,medium,34286,3.03,medium,4.0,4.13,2025-08-06
Iron,hot-dip galvanized,31.0,5.166144,Skruvkanal,0.093,low,108778,3.28,small,2.0,2.81,2025-01-31
Titanium,wet painted,27.3,0.884,H-profil,0.092,medium,115294,2.99,micro,10.0,2.7,2025-02-16
Zinc,phosphated,28.6,1.072,T-profil,0.1,medium,44461,3.14,medium,7.0,3.95,2025-05-14
Nickel,plasma sprayed,32.4,0.891,Kilspår,0.149,medium,52989,2.8,large,3.0,3.8,2025-04-18
Nickel,blackening,21.0,1.387,Kopplingsprofil,0.181,low,159401,3.96,micro,9.0,1.92,2025-03-13
Nickel,blackening,38.8,1.463,Z-profil,0.164,medium,126999,2.57,large,10.0,2.49,2025-11-23
Nickel,electroplated,38.3,0.942,Ventilationslister,0.159,low,93224,3.95,large,10.0,3.09,2025-04-18
Nickel,hot-dip galvanized,30.8,1.187,Karmlist,0.123,high,133611,3.46,large,3.0,2.37,2025-11-05
Zinc,electroplated,20.3,1.253,Hakprofilslist,0.154,medium,131573,3.08,micro,3.0,2.41,2025-09-29
Zinc,phosphated,31.5,1.173,Karmprofil,0.133,low,106608,3.7,micro,8.0,2.85,2025-06-20
Copper,phosphated,17.4,0.947,Kilspår,0.082,medium,133428,3.36,medium,12.0,2.37,2025-04-26
Aluminium,electroplated,16.4,1.219,Dekorlist,0.081,high,96045,3.34,large,5.0,3.04,2025-11-25
Nickel,hot-dip galvanized,21.7,1.521,Clipsprofil,0.094,low,159181,2.73,small,2.0,1.92,2025-03-15
Iron,electroplated,26.4,0.902,Dekorlist,0.187,low,33511,3.17,medium,9.0,4.14,2025-09-13
Zinc,blackening,35.8,0.91,Stödprofil,0.132,low,32529,2.93,micro,3.0,4.16,2025-03-22
Iron,wet painted,32.6,1.16,Clipsprofil,0.16,high,151272,2.57,small,4.0,2.06,2025-09-25
Iron,blackening,32.9,1.695,Hakprofilslist,0.102,high,80842,3.12,micro,6.0,3.3,2025-05-08
Iron,anodized,25.6,1.446,Dekorlist,0.111,high,46645,2.69,small,4.0,3.91,2025-11-22
Copper,hot-dip galvanized,23.7,1.455,Hakprofil,0.069,low,133789,2.96,medium,8.0,2.37,2025-08-23
Zinc,hot-dip galvanized,24.3,1.167,Bottenlist,0.076,high,64119,2.7,small,8.0,3.6,2025-02-10
Iron,plasma sprayed,38.6,1.378,Dekorlist,0.174,medium,80079,2.71,medium,3.0,3.32,2025-06-30
Nickel,Powder coated,16.7,0.846,Doldbeslag,0.138,high,114721,2.87,micro,8.0,2.71,2025-06-06
Titanium,anodized,35.8,1.417,Ramlist,0.101,low,124544,4.14,small,12.0,2.53,2025-02-28
Iron,phosphated,29.1,1.669,Täckprofil,0.17,medium,97884,2.55,large,7.0,3.0,2025-12-11
Copper,hot-dip galvanized,25.9,1.395,Tätningslist,0.087,high,52250,3.57,large,11.0,3.81,2025-09-06
Zinc,electroplated,32.5,1.633,Foglist,0.196,medium,47473,2.77,micro,10.0,3.89,2025-07-11
Copper,anodized,27.0,1.497,L-profil,0.102,medium,150043,4.01,small,10.0,2.08,2025-01-24
Iron,plasma sprayed,35.9,0.947,Glasningslist,0.101,low,90332,2.7,large,3.0,3.14,2025-03-21
Zinc,phosphated,36.6,5.166144,Avvattningsprofil,0.097,medium,147374,4.07,medium,8.0,2.13,2025-05-14
Titanium,Powder coated,25.5,0.898,Innerbåge,0.068,medium,131573,3.52,small,6.0,2.41,2025-08-01
Iron,Powder coated,22.1,1.324,Bottenlist,0.067,low,60336,2.55,small,7.0,3.67,2025-12-14
Copper,plasma sprayed,29.4,0.967,H-profil,0.147,low,156185,3.97,large,2.0,1.97,2025-06-15
Aluminium,plasma sprayed,36.8,0.848,Sidoprofil,0.181,low,145157,3.38,medium,8.0,2.17,2025-12-14
Nickel,electroplated,20.6,1.222,Karmprofil,0.169,medium,103656,2.97,medium,7.0,2.9,2025-12-03
Copper,hot-dip galvanized,30.1,1.106,Baslister,0.071,medium,46592,3.77,medium,5.0,3.91,2025-03-12
Zinc,Powder coated,30.3,1.28,Anslagslist,0.132,medium,35352,4.02,small,2.0,4.11,2025-08-02
Iron,phosphated,32.7,1.363,Ytterram,0.066,low,76677,3.32,micro,10.0,3.38,2025-03-06
Nickel,anodized,18.8,0.877,Glasningslist,0.057,high,121617,3.05,small,5.0,2.58,2025-08-09
Iron,phosphated,32.3,0.949,Fönsterbleck,0.148,medium,100138,3.8,small,3.0,2.96,2025-11-04
Zinc,wet painted,36.8,1.346,Ramlist,0.13,high,100119,3.63,large,9.0,2.96,2025-10-13
Iron,wet painted,19.9,1.15,Z-profil,0.062,low,145989,3.96,micro,3.0,2.15,2025-07-04
Aluminium,plasma sprayed,21.2,1.501,Glaskil,0.055,medium,140403,3.65,medium,6.0,2.25,2025-07-26
Nickel,electroplated,38.2,1.431,Doldbeslag,0.198,high,47920,2.94,large,12.0,3.89,2025-04-09
Nickel,wet painted,19.9,1.607,Avvattningsprofil,0.055,medium,62761,4.03,small,7.0,3.62,2025-08-30
Zinc,Powder coated,35.5,1.468,Bottenlist,0.117,medium,53050,2.72,micro,12.0,3.8,2025-06-07
Aluminium,phosphated,27.1,1.229,Mittpost,0.126,medium,130726,2.98,medium,9.0,2.42,2025-04-08
Copper,phosphated,21.4,1.45,Doldbeslag,0.068,high,121019,3.38,medium,12.0,2.59,2025-02-11
Iron,plasma sprayed,35.9,1.088,Ramlist,0.075,low,41772,3.45,small,2.0,4.0,2025-05-19
Titanium,hot-dip galvanized,26.0,1.116,Pärlspont,0.103,medium,101563,2.57,medium,2.0,2.94,2025-10-10
Iron,hot-dip galvanized,27.6,1.556,Hakprofilslist,0.164,low,144336,3.79,medium,5.0,2.18,2025-08-15
Iron,anodized,24.0,1.244,Kantskydd,0.126,low,89902,3.12,micro,,3.14,2025-03-13
Copper,plasma sprayed,29.4,1.564,Hakprofilslist,0.146,high,57823,3.2,large,10.0,3.71,2025-08-31
Iron,blackening,19.5,1.586,Täckprofil,0.198,high,63066,3.84,micro,12.0,3.62,2025-01-18
Aluminium,anodized,24.8,1.618,Hakprofil,0.165,low,135562,3.15,large,8.0,2.34,2025-03-18
Aluminium,blackening,38.2,1.672,Täckprofil,0.115,medium,98360,2.63,large,8.0,2.99,2025-02-14
Nickel,hot-dip galvanized,21.7,1.23,Skarvprofil,0.117,high,41379,2.83,large,,4.0,2025-12-09
Zinc,plasma sprayed,30.9,1.128,Glasningslist,0.143,medium,40699,4.07,medium,6.0,4.01,2025-05-20
Titanium,blackening,23.3,1.367,Kantprofil,0.15,medium,93026,2.66,micro,6.0,3.09,2025-06-26
Iron,plasma sprayed,33.6,1.175,Tätningslist,0.125,medium,125206,3.11,medium,2.0,2.52,2025-08-10
Iron,plasma sprayed,18.8,1.385,J-profil,0.147,low,48832,3.35,small,,3.87,2025-04-02
Copper,hot-dip galvanized,38.2,1.48,Skruvkanal,0.054,medium,154989,3.33,micro,7.0,1.99,2025-01-22
Zinc,anodized,26.2,1.464,H-profil,0.114,low,114657,2.56,large,10.0,2.71,2025-06-21
Aluminium,anodized,21.2,1.178,U-profil,0.092,low,75462,3.35,medium,4.0,3.4,2025-04-02
Titanium,plasma sprayed,17.4,0.989,L-profil,0.069,medium,36049,3.16,medium,6.0,4.1,2025-07-11
Nickel,wet painted,19.7,1.229,Skruvkanal,0.065,medium,43653,4.1,micro,3.0,3.96,2025-03-18
Aluminium,electroplated,27.8,0.967,Bottenlist,0.14,medium,144613,2.8,micro,11.0,2.18,2025-10-08
Zinc,hot-dip galvanized,23.5,1.648,Glaskil,0.129,medium,60777,3.11,large,6.0,3.66,2025-12-30
Nickel,electroplated,34.9,1.152,Ventilationslister,0.088,low,56870,3.22,large,9.0,3.73,2025-06-28
Copper,electroplated,25.7,0.978,Z-profil,0.121,medium,118673,3.17,small,12.0,2.64,2025-08-26
Copper,anodized,21.5,0.86,J-profil,0.124,medium,43737,3.61,large,3.0,3.96,2025-05-15
Iron,anodized,30.0,1.425,Rörprofil,0.079,low,70404,2.89,medium,9.0,3.49,2025-12-31
Zinc,wet painted,32.1,1.417,Ramlist,0.148,high,95670,2.9,small,5.0,3.04,2025-10-07
Titanium,electroplated,19.6,1.147,Z-profil,0.167,high,36851,3.71,small,11.0,4.08,2025-01-19
Nickel,electroplated,19.6,0.903,Kopplingsprofil,0.169,low,100659,3.35,small,,2.95,2025-03-24
Aluminium,plasma sprayed,16.6,1.21,Fönsterbleck,0.14,high,87180,3.21,micro,2.0,3.19,2025-08-16
Zinc,anodized,32.8,1.121,Sidoprofil,0.127,low,45216,2.82,large,6.0,3.93,2025-09-22
Zinc,electroplated,31.1,1.454,Ventilationslister,0.059,medium,158450,2.85,small,2.0,1.93,2025-04-22
Copper,phosphated,26.7,1.389,Vinkellist,0.093,medium,113003,2.57,micro,8.0,2.74,2025-09-08
Iron,wet painted,35.3,1.169,Innerbåge,0.064,high,73745,2.7,micro,9.0,3.43,2025-06-13
Iron,blackening,34.4,1.036,Doldbeslag,0.195,medium,79936,3.44,small,4.0,3.32,2025-12-24
